"","Jurisdiction","County","COG","cyc5_projection_start","cyc5_projection_end","cyc5_planning_start","cyc5_planning_end","cyc5_current_compliance","cyc5_conditional_compliance","cyc5_cc_due","cyc5_cc_cleared","cyc5_planning_period_duration","req_4year_update","emergency_shelter_zone","cyc4_rezone_program","cyc4_unit_shortfall","cyc4_rezone_acres","cyc4_rezone_complete","cyc5_rezone_program","cyc5_unit_shortfall","cyc5_rezone_acres","cyc5_rezone_complete","charter_city","apr2013","apr2014","apr2015","apr2016","apr2017","apr2018","compliance"
"525","WILLITS","Mendocino County","Mendocino Council of Governments ",2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","No","No","No","Yes",1
"526","WILLOWS","Glenn County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in - conditional","Yes",2015-10-31,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"527","WINDSOR","Sonoma County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"528","WINTERS","Yolo County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"529","WOODLAKE","Tulare County","Tulare County Association of Governments",2014-01-01,2023-09-30,2015-12-31,2023-12-31,"in",NA,NA,NA,"8 year","Yes","Yes","No",NA,NA,NA,"No",NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes","Yes",1
"530","WOODLAND","Yolo County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"Yes",230,5,"Yes",NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"531","WOODSIDE","San Mateo County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"532","YOLO COUNTY","Yolo County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"533","YORBA LINDA","Orange County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","Yes","Yes","Yes","Yes","Yes",1
"534","YOUNTVILLE","Napa County","ABAG",2014-01-01,2022-10-31,2015-01-31,2023-01-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"No","No","Yes","Yes","Yes","Yes",1
"535","YREKA","Siskiyou County",NA,2014-01-01,2019-06-30,2014-06-30,2019-06-30,"in",NA,NA,NA,"5 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"536","YUBA CITY","Sutter County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","No",1
"537","YUBA COUNTY","Yuba County","SACOG",2013-01-01,2021-10-31,2013-10-31,2021-10-31,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","No","No","No","No","No",1
"538","YUCAIPA","San Bernardino County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
"539","YUCCA VALLEY","San Bernardino County","SCAG",2014-01-01,2021-10-31,2013-10-15,2021-10-15,"in",NA,NA,NA,"8 Year",NA,"Yes","No",NA,NA,NA,"No",NA,NA,NA,NA,"Yes","Yes","Yes","Yes","Yes","Yes",1
